Time,X(CH1),X(CH2),
Second,Volt,Volt,
2.1049805e+01,5.76000e+00,7.68000e+00,
2.1057129e+01,5.76000e+00,7.52000e+00,
2.1064453e+01,5.76000e+00,7.84000e+00,
2.1071777e+01,5.76000e+00,7.52000e+00,
2.1079102e+01,5.76000e+00,7.68000e+00,
2.1086426e+01,5.76000e+00,7.84000e+00,
2.1093750e+01,5.76000e+00,7.36000e+00,
2.1101074e+01,5.76000e+00,7.68000e+00,
2.1108398e+01,5.76000e+00,7.68000e+00,
2.1115723e+01,5.76000e+00,7.36000e+00,
2.1123047e+01,5.76000e+00,7.76000e+00,
2.1130371e+01,5.76000e+00,7.44000e+00,
2.1137695e+01,5.76000e+00,7.36000e+00,
2.1145020e+01,5.76000e+00,7.76000e+00,
2.1152344e+01,5.76000e+00,7.28000e+00,
2.1159668e+01,5.76000e+00,7.52000e+00,
2.1166992e+01,5.76000e+00,7.68000e+00,
2.1174316e+01,5.76000e+00,7.20000e+00,
2.1181641e+01,5.76000e+00,7.60000e+00,
2.1188965e+01,5.76000e+00,7.44000e+00,
2.1196289e+01,5.84000e+00,7.20000e+00,
2.1203613e+01,5.76000e+00,7.60000e+00,
2.1210938e+01,5.76000e+00,7.28000e+00,
2.1218262e+01,5.76000e+00,7.28000e+00,
2.1225586e+01,5.76000e+00,7.52000e+00,
2.1232910e+01,5.84000e+00,7.04000e+00,
2.1240234e+01,5.84000e+00,7.36000e+00,
2.1247559e+01,5.76000e+00,7.44000e+00,
2.1254883e+01,5.76000e+00,7.04000e+00,
2.1262207e+01,5.76000e+00,7.44000e+00,
2.1269531e+01,5.76000e+00,7.20000e+00,
2.1276855e+01,5.84000e+00,7.04000e+00,
2.1284180e+01,5.84000e+00,7.36000e+00,
2.1291504e+01,5.84000e+00,7.04000e+00,
2.1298828e+01,5.84000e+00,7.12000e+00,
2.1306152e+01,5.84000e+00,7.36000e+00,
2.1313477e+01,5.84000e+00,6.80000e+00,
2.1320801e+01,5.84000e+00,7.12000e+00,
2.1328125e+01,5.84000e+00,7.20000e+00,
2.1335449e+01,5.84000e+00,6.72000e+00,
2.1342773e+01,5.84000e+00,7.20000e+00,
2.1350098e+01,5.84000e+00,6.88000e+00,
2.1357422e+01,5.84000e+00,6.72000e+00,
2.1364746e+01,5.84000e+00,7.12000e+00,
2.1372070e+01,5.84000e+00,6.72000e+00,
2.1379395e+01,5.84000e+00,7.04000e+00,
2.1386719e+01,5.84000e+00,7.12000e+00,
2.1394043e+01,5.84000e+00,6.64000e+00,
2.1401367e+01,5.84000e+00,7.04000e+00,
2.1408691e+01,5.84000e+00,6.88000e+00,
2.1416016e+01,5.84000e+00,6.56000e+00,
2.1423340e+01,5.84000e+00,7.04000e+00,
2.1430664e+01,5.84000e+00,6.64000e+00,
2.1437988e+01,5.84000e+00,6.64000e+00,
2.1445313e+01,5.84000e+00,6.80000e+00,
2.1452637e+01,5.84000e+00,6.40000e+00,
2.1459961e+01,5.84000e+00,6.64000e+00,
2.1467285e+01,5.84000e+00,6.80000e+00,
2.1474609e+01,5.84000e+00,6.40000e+00,
2.1481934e+01,5.84000e+00,6.72000e+00,
2.1489258e+01,5.84000e+00,6.64000e+00,
2.1496582e+01,5.84000e+00,6.40000e+00,
2.1503906e+01,5.84000e+00,6.80000e+00,
2.1511230e+01,5.84000e+00,6.40000e+00,
2.1518555e+01,5.84000e+00,6.40000e+00,
2.1525879e+01,5.84000e+00,6.72000e+00,
2.1533203e+01,5.84000e+00,6.32000e+00,
2.1540527e+01,5.84000e+00,6.56000e+00,
2.1547852e+01,5.92000e+00,6.64000e+00,
2.1555176e+01,5.84000e+00,6.16000e+00,
2.1562500e+01,5.92000e+00,6.56000e+00,
2.1569824e+01,5.92000e+00,6.40000e+00,
2.1577148e+01,5.92000e+00,6.16000e+00,
2.1584473e+01,5.84000e+00,6.56000e+00,
2.1591797e+01,5.84000e+00,6.16000e+00,
2.1599121e+01,5.84000e+00,6.24000e+00,
2.1606445e+01,5.92000e+00,6.48000e+00,
2.1613770e+01,5.92000e+00,6.08000e+00,
2.1621094e+01,5.84000e+00,6.32000e+00,
2.1628418e+01,5.92000e+00,6.32000e+00,
2.1635742e+01,5.92000e+00,6.00000e+00,
2.1643066e+01,5.92000e+00,6.40000e+00,
2.1650391e+01,5.92000e+00,6.08000e+00,
2.1657715e+01,5.84000e+00,6.00000e+00,
2.1665039e+01,5.92000e+00,6.32000e+00,
2.1672363e+01,5.84000e+00,5.92000e+00,
2.1679688e+01,5.92000e+00,6.08000e+00,
2.1687012e+01,5.92000e+00,6.16000e+00,
2.1694336e+01,5.92000e+00,5.76000e+00,
2.1701660e+01,5.92000e+00,6.16000e+00,
2.1708984e+01,5.92000e+00,6.08000e+00,
2.1716309e+01,5.92000e+00,5.76000e+00,
2.1723633e+01,5.92000e+00,6.16000e+00,
2.1730957e+01,5.92000e+00,5.84000e+00,
2.1738281e+01,5.92000e+00,5.84000e+00,
2.1745605e+01,5.92000e+00,6.08000e+00,
2.1752930e+01,6.00000e+00,5.68000e+00,
2.1760254e+01,6.00000e+00,5.84000e+00,
2.1767578e+01,6.00000e+00,6.00000e+00,
2.1774902e+01,5.92000e+00,5.60000e+00,
2.1782227e+01,6.00000e+00,5.92000e+00,
2.1789551e+01,6.00000e+00,5.76000e+00,
2.1796875e+01,6.00000e+00,5.52000e+00,
2.1804199e+01,6.00000e+00,6.00000e+00,
2.1811523e+01,5.92000e+00,5.60000e+00,
2.1818848e+01,6.00000e+00,5.60000e+00,
2.1826172e+01,6.00000e+00,5.84000e+00,
2.1833496e+01,6.00000e+00,5.44000e+00,
2.1840820e+01,6.00000e+00,5.68000e+00,
2.1848145e+01,6.00000e+00,5.76000e+00,
2.1855469e+01,6.00000e+00,5.28000e+00,
2.1862793e+01,6.00000e+00,5.68000e+00,
2.1870117e+01,5.92000e+00,5.44000e+00,
2.1877441e+01,6.00000e+00,5.36000e+00,
2.1884766e+01,6.00000e+00,5.68000e+00,
2.1892090e+01,6.00000e+00,5.28000e+00,
2.1899414e+01,6.00000e+00,5.36000e+00,
2.1906738e+01,5.92000e+00,5.60000e+00,
2.1914063e+01,6.00000e+00,5.12000e+00,
2.1921387e+01,6.00000e+00,5.44000e+00,
2.1928711e+01,6.00000e+00,5.44000e+00,
2.1936035e+01,6.00000e+00,5.12000e+00,
2.1943359e+01,6.00000e+00,5.52000e+00,
2.1950684e+01,6.00000e+00,5.20000e+00,
2.1958008e+01,6.00000e+00,5.12000e+00,
2.1965332e+01,6.00000e+00,5.44000e+00,
2.1972656e+01,6.00000e+00,5.04000e+00,
2.1979980e+01,6.00000e+00,5.20000e+00,
2.1987305e+01,6.00000e+00,5.36000e+00,
2.1994629e+01,6.00000e+00,4.88000e+00,
2.2001953e+01,6.00000e+00,5.28000e+00,
2.2009277e+01,6.00000e+00,5.12000e+00,
2.2016602e+01,6.08000e+00,4.88000e+00,
2.2023926e+01,6.00000e+00,5.28000e+00,
2.2031250e+01,6.00000e+00,4.96000e+00,
2.2038574e+01,6.00000e+00,4.96000e+00,
2.2045898e+01,6.08000e+00,5.20000e+00,
2.2053223e+01,6.00000e+00,4.80000e+00,
2.2060547e+01,6.00000e+00,4.96000e+00,
2.2067871e+01,6.08000e+00,5.04000e+00,
2.2075195e+01,6.08000e+00,4.72000e+00,
2.2082520e+01,6.08000e+00,5.04000e+00,
2.2089844e+01,6.00000e+00,4.88000e+00,
2.2097168e+01,6.08000e+00,4.72000e+00,
2.2104492e+01,6.08000e+00,5.04000e+00,
2.2111816e+01,6.16000e+00,4.72000e+00,
2.2119141e+01,6.08000e+00,4.72000e+00,
2.2126465e+01,6.00000e+00,4.96000e+00,
2.2133789e+01,6.08000e+00,4.56000e+00,
2.2141113e+01,6.08000e+00,4.80000e+00,
2.2148438e+01,6.00000e+00,4.80000e+00,
2.2155762e+01,6.08000e+00,4.40000e+00,
2.2163086e+01,6.08000e+00,4.88000e+00,
2.2170410e+01,6.08000e+00,4.64000e+00,
2.2177734e+01,6.08000e+00,4.48000e+00,
2.2185059e+01,6.08000e+00,4.88000e+00,
2.2192383e+01,6.08000e+00,4.48000e+00,
2.2199707e+01,6.08000e+00,4.56000e+00,
2.2207031e+01,6.08000e+00,4.80000e+00,
2.2214355e+01,6.08000e+00,4.32000e+00,
2.2221680e+01,6.08000e+00,4.72000e+00,
2.2229004e+01,6.08000e+00,4.56000e+00,
2.2236328e+01,6.08000e+00,4.32000e+00,
2.2243652e+01,6.08000e+00,4.72000e+00,
2.2250977e+01,6.08000e+00,4.40000e+00,
2.2258301e+01,6.08000e+00,4.32000e+00,
2.2265625e+01,6.08000e+00,4.72000e+00,
2.2272949e+01,6.08000e+00,4.24000e+00,
2.2280273e+01,6.08000e+00,4.48000e+00,
2.2287598e+01,6.08000e+00,4.56000e+00,
2.2294922e+01,6.08000e+00,4.16000e+00,
2.2302246e+01,6.08000e+00,4.56000e+00,
